# DAC port 4 set to 1.0 V
# DMM: Agilent 34401A, 6 NPLC
# Start: 2026-06-22T21:50:15.822271
# time_s	voltage_V
0.387911	1.000049100
0.738397	1.000049400
1.087862	1.000049600
1.438191	1.000048800
1.788642	1.000048600
2.138571	1.000048600
2.488917	1.000050200
2.838912	1.000049500
3.188937	1.000048200
3.538066	1.000050000
3.887606	1.000049000
4.237810	1.000048200
4.588340	1.000048300
4.938992	1.000048000
5.289053	1.000048400
5.638474	1.000048600
5.988937	1.000048200
6.338606	1.000049800
6.688183	1.000048700
7.038963	1.000049100
7.389009	1.000048000
7.739000	1.000048400
8.088901	1.000048200
8.438448	1.000047500
8.787475	1.000047200
9.138304	1.000046800
9.488494	1.000046700
9.838786	1.000047900
10.188567	1.000046600
10.538442	1.000046200
10.888908	1.000046300
11.239456	1.000047000
11.589887	1.000046300
11.939774	1.000045800
12.289700	1.000045900
12.639505	1.000045000
12.989630	1.000046200
13.340053	1.000046000
13.689806	1.000045600
14.039697	1.000044200
14.388857	1.000046000
14.738681	1.000045400
15.089371	1.000043700
15.439477	1.000043800
15.789735	1.000045200
16.139457	1.000044700
16.488950	1.000044300
16.839138	1.000046200
17.189671	1.000045600
17.539707	1.000046400
17.889628	1.000047600
18.239436	1.000047600
18.589763	1.000047800
18.939542	1.000048700
19.289683	1.000047100
19.639677	1.000048200
19.990015	1.000048300
20.340006	1.000048300
20.689737	1.000049000
21.039182	1.000047900
21.389885	1.000046400
21.739787	1.000046800
22.089912	1.000045400
22.439861	1.000047400
22.790511	1.000047000
23.140983	1.000046800
23.490863	1.000046800
23.840830	1.000046300
24.190905	1.000046000
24.540801	1.000045200
24.891076	1.000044200
25.242160	1.000043700
25.592636	1.000042200
25.943399	1.000040600
26.293597	1.000040700
26.644494	1.000040900
26.995855	1.000040900
27.346901	1.000041800
27.697296	1.000041800
28.048290	1.000041800
28.399849	1.000041300
28.750942	1.000041900
29.101964	1.000043700
29.453235	1.000043500
29.803940	1.000043400
30.154450	1.000043100
30.505076	1.000043900
30.854593	1.000045500
31.204118	1.000044900
31.554428	1.000045100
31.904876	1.000045600
32.255238	1.000045400
32.605183	1.000045500
32.955661	1.000045600
33.306200	1.000044700
33.656638	1.000045500
34.005622	1.000044600
34.354377	1.000045600
34.703756	1.000045200
35.053164	1.000045400
35.404010	1.000046200
35.754987	1.000045900
36.105446	1.000045500
36.455693	1.000044600
36.805367	1.000044700
37.155131	1.000045000
37.506054	1.000044200
37.855545	1.000043700
38.204710	1.000043500
38.553959	1.000044300
38.904430	1.000044900
39.255516	1.000043700
39.605627	1.000044200
39.954933	1.000045000
40.304574	1.000045100
40.654729	1.000044100
41.004700	1.000044600
41.355136	1.000043300
41.705310	1.000043700
42.055421	1.000043300
42.405600	1.000044200
42.755748	1.000042900
43.106316	1.000043100
43.457153	1.000043800
43.807270	1.000042900
44.157161	1.000042500
44.507620	1.000042600
44.857418	1.000043400
45.207444	1.000042600
45.557947	1.000042900
45.908719	1.000042900
46.259245	1.000041700
46.609527	1.000043000
46.959800	1.000043700
47.310483	1.000043000
47.661520	1.000043700
48.012497	1.000044500
48.363724	1.000043100
48.715512	1.000045000
49.066465	1.000043800
49.417499	1.000042600
49.767072	1.000043300
50.116059	1.000043900
50.465048	1.000042700
50.815140	1.000044500
51.165729	1.000043800
51.517314	1.000042100
51.869324	1.000042300
52.220630	1.000043000
52.571212	1.000044100
52.921378	1.000043400
53.271895	1.000043900
53.622579	1.000043700
53.972954	1.000043700
54.323935	1.000044100
54.674073	1.000043800
55.024361	1.000044600
55.374568	1.000044900
55.724048	1.000045000
56.074115	1.000044500
56.424497	1.000044300
56.774529	1.000044600
57.124752	1.000044900
57.475902	1.000044500
57.825638	1.000044600
58.175368	1.000045600
58.526043	1.000043800
58.876086	1.000045900
59.226586	1.000043500
59.577316	1.000042600
59.927532	1.000042600
60.278421	1.000042900
