# DAC port 4 set to 10.0 V
# DMM: Agilent 34401A, 6 NPLC
# Start: 2026-06-22T00:13:08.216168
# time_s	voltage_V
0.387759	0.009993979
0.739462	0.009993991
1.090563	0.009993960
1.440598	0.009993969
1.791733	0.009993967
2.142370	0.009993954
2.492274	0.009993963
2.842168	0.009993974
3.193640	0.009993961
3.545042	0.009993967
3.897115	0.009993978
4.248709	0.009993965
4.600591	0.009993967
4.950854	0.009993970
5.301983	0.009993960
5.653519	0.009993961
6.005546	0.009993969
6.357552	0.009993965
6.708390	0.009993970
7.059770	0.009993978
7.410906	0.009993971
7.763071	0.009993978
8.114778	0.009993985
8.466720	0.009993970
8.819446	0.009993987
9.170033	0.009993970
9.521222	0.009993982
9.873101	0.009993977
10.224815	0.009993977
