# DAC port 4 set to 10.0 V
# DMM: Agilent 34401A, 6 NPLC
# Start: 2026-06-22T00:13:49.332747
# time_s	voltage_V
0.388029	0.009994007
0.739968	0.009994009
1.091818	0.009994004
1.441954	0.009994009
1.792610	0.009994019
2.143616	0.009994012
2.495385	0.009994016
2.848163	0.009994007
3.199941	0.009994011
3.552055	0.009994020
3.902830	0.009994029
4.253246	0.009994019
4.603412	0.009994015
4.953866	0.009994013
5.304198	0.009994021
5.655399	0.009994017
6.006393	0.009994012
6.357142	0.009994011
6.708841	0.009994025
7.060587	0.009994029
7.412137	0.009994025
7.764209	0.009994020
8.116343	0.009994032
8.467939	0.009994029
8.819751	0.009994033
9.170344	0.009994033
9.520314	0.009994032
9.870785	0.009994029
10.225826	0.009994039
