# DAC port 4 set to 10.0 V
# DMM: Agilent 34401A, 6 NPLC
# Start: 2026-06-22T00:14:34.496665
# time_s	voltage_V
0.386977	0.009994135
0.737298	0.009994120
1.089863	0.009994129
1.442095	0.009994142
1.793437	0.009994129
2.145446	0.009994126
2.496625	0.009994129
2.846771	0.009994147
3.197189	0.009994127
3.548710	0.009994142
3.900591	0.009994126
4.252357	0.009994122
4.603151	0.009994120
4.954671	0.009994118
5.306575	0.009994126
5.658511	0.009994120
6.010663	0.009994129
6.361980	0.009994122
6.713299	0.009994123
7.064350	0.009994126
7.415831	0.009994102
7.767681	0.009994120
8.120094	0.009994115
8.471184	0.009994112
8.821647	0.009994105
9.172689	0.009994120
9.524346	0.009994122
9.875658	0.009994117
10.226298	0.009994120
