# ADC channel: 0  gain: 100x  conv_time_us: 2602.8645  fs_Hz: 384.1921  dac_voltage_V: 0.05
# freq_Hz  psd_bg_V2perHz  psd_sig_V2perHz  psd_subtracted_V2perHz
0.00000000e+00 2.64268141e-13 2.16328957e-10 2.16064689e-10
3.75187606e-01 1.48799980e-12 2.18732535e-09 2.18583735e-09
7.50375211e-01 9.11996638e-13 6.36782017e-10 6.35870020e-10
1.12556282e+00 7.81023994e-13 2.09041735e-10 2.08260711e-10
1.50075042e+00 7.50883675e-13 1.07119941e-10 1.06369057e-10
1.87593803e+00 6.50449412e-13 8.02397223e-11 7.95892729e-11
2.25112563e+00 6.67102153e-13 5.94915648e-11 5.88244627e-11
2.62631324e+00 5.85999363e-13 4.64416911e-11 4.58556918e-11
3.00150084e+00 6.77301702e-13 4.43175310e-11 4.36402293e-11
3.37668845e+00 5.42516321e-13 4.05029905e-11 3.99604742e-11
3.75187606e+00 5.12522648e-13 3.58366086e-11 3.53240859e-11
4.12706366e+00 5.43196006e-13 4.37038637e-11 4.31606677e-11
4.50225127e+00 5.41446910e-13 4.00172533e-11 3.94758064e-11
4.87743887e+00 5.49543401e-13 4.22697833e-11 4.17202399e-11
5.25262648e+00 3.63310091e-13 3.44379856e-11 3.40746755e-11
5.62781408e+00 4.95526752e-13 3.70887247e-11 3.65931979e-11
6.00300169e+00 5.33587872e-13 4.02408871e-11 3.97072992e-11
6.37818929e+00 5.02769765e-13 3.56974101e-11 3.51946403e-11
6.75337690e+00 4.76709106e-13 3.70293172e-11 3.65526081e-11
7.12856451e+00 5.18022855e-13 3.31953504e-11 3.26773276e-11
7.50375211e+00 6.21358942e-13 2.96360324e-11 2.90146735e-11
7.87893972e+00 4.90433092e-13 3.01143302e-11 2.96238971e-11
8.25412732e+00 4.78794857e-13 2.92392079e-11 2.87604131e-11
8.62931493e+00 6.04263056e-13 3.09075035e-11 3.03032404e-11
9.00450253e+00 6.35413849e-13 3.14422676e-11 3.08068538e-11
9.37969014e+00 5.61448348e-13 3.49958694e-11 3.44344211e-11
9.75487774e+00 4.39083660e-13 3.82152024e-11 3.77761187e-11
1.01300653e+01 3.10118707e-13 3.73595904e-11 3.70494717e-11
1.05052530e+01 4.29664268e-13 3.28842208e-11 3.24545565e-11
1.08804406e+01 5.35882336e-13 3.05081419e-11 2.99722596e-11
1.12556282e+01 6.02045190e-13 2.98289483e-11 2.92269031e-11
1.16308158e+01 4.39832418e-13 2.74666792e-11 2.70268468e-11
1.20060034e+01 5.18145284e-13 3.05538433e-11 3.00356980e-11
1.23811910e+01 4.65061411e-13 2.97880087e-11 2.93229473e-11
1.27563786e+01 4.39158210e-13 2.95432393e-11 2.91040811e-11
1.31315662e+01 5.18635497e-13 2.39110892e-11 2.33924537e-11
1.35067538e+01 6.36165428e-13 2.38891865e-11 2.32530210e-11
1.38819414e+01 6.13762316e-13 2.54938363e-11 2.48800740e-11
1.42571290e+01 4.30047221e-13 2.84237872e-11 2.79937400e-11
1.46323166e+01 5.43259732e-13 3.24014519e-11 3.18581921e-11
1.50075042e+01 5.42886071e-13 3.10626496e-11 3.05197636e-11
1.53826918e+01 4.79586089e-13 3.37985828e-11 3.33189967e-11
1.57578794e+01 5.78773209e-13 2.66044228e-11 2.60256496e-11
1.61330670e+01 4.87487296e-13 2.53710414e-11 2.48835541e-11
1.65082546e+01 4.44260945e-13 2.52170093e-11 2.47727484e-11
1.68834422e+01 4.20825167e-13 2.70945980e-11 2.66737729e-11
1.72586299e+01 5.03778207e-13 2.97306689e-11 2.92268907e-11
1.76338175e+01 5.42937789e-13 3.10621024e-11 3.05191646e-11
1.80090051e+01 4.60906919e-13 2.35796625e-11 2.31187556e-11
1.83841927e+01 5.22699241e-13 2.18674464e-11 2.13447471e-11
1.87593803e+01 5.37093935e-13 3.22795961e-11 3.17425022e-11
1.91345679e+01 5.13843745e-13 2.32616112e-11 2.27477674e-11
1.95097555e+01 5.79928392e-13 2.42532485e-11 2.36733201e-11
1.98849431e+01 5.12762220e-13 3.40536932e-11 3.35409310e-11
2.02601307e+01 5.00572725e-13 3.45531302e-11 3.40525575e-11
2.06353183e+01 5.92918423e-13 2.87537917e-11 2.81608733e-11
2.10105059e+01 4.70957565e-13 2.55998102e-11 2.51288526e-11
2.13856935e+01 4.24715887e-13 2.55180433e-11 2.50933275e-11
2.17608811e+01 4.90240324e-13 3.06293502e-11 3.01391099e-11
2.21360687e+01 4.35068908e-13 2.64575262e-11 2.60224573e-11
2.25112563e+01 4.20274703e-13 2.25278900e-11 2.21076153e-11
2.28864439e+01 4.01341613e-13 2.58734258e-11 2.54720842e-11
2.32616315e+01 3.74885429e-13 2.38782146e-11 2.35033292e-11
2.36368191e+01 6.16586736e-13 2.67870160e-11 2.61704293e-11
2.40120068e+01 6.35038776e-13 2.65441910e-11 2.59091522e-11
2.43871944e+01 6.12398018e-13 2.56154131e-11 2.50030151e-11
2.47623820e+01 6.41163934e-13 2.67445081e-11 2.61033442e-11
2.51375696e+01 5.72970869e-13 2.93445318e-11 2.87715609e-11
2.55127572e+01 5.80527397e-13 2.59575995e-11 2.53770721e-11
2.58879448e+01 5.04083770e-13 2.55238543e-11 2.50197705e-11
2.62631324e+01 4.86181585e-13 2.28766045e-11 2.23904229e-11
2.66383200e+01 4.31126618e-13 2.79079104e-11 2.74767838e-11
2.70135076e+01 5.38187579e-13 2.80677390e-11 2.75295514e-11
2.73886952e+01 5.31719045e-13 2.34241631e-11 2.28924440e-11
2.77638828e+01 4.88542576e-13 2.10464556e-11 2.05579131e-11
2.81390704e+01 4.54620032e-13 1.78410997e-11 1.73864796e-11
2.85142580e+01 5.15862923e-13 2.49619346e-11 2.44460717e-11
2.88894456e+01 5.58009660e-13 2.56086505e-11 2.50506408e-11
2.92646332e+01 6.19400929e-13 2.04287002e-11 1.98092993e-11
2.96398208e+01 6.03883323e-13 2.10189995e-11 2.04151162e-11
3.00150084e+01 5.63680019e-13 2.69819756e-11 2.64182956e-11
3.03901960e+01 5.92409997e-13 2.84976123e-11 2.79052023e-11
3.07653837e+01 6.21102202e-13 2.78554907e-11 2.72343885e-11
3.11405713e+01 5.26070348e-13 2.95773037e-11 2.90512334e-11
3.15157589e+01 5.17413386e-13 2.84036308e-11 2.78862174e-11
3.18909465e+01 5.20188669e-13 2.48576556e-11 2.43374669e-11
3.22661341e+01 5.13026501e-13 2.05205235e-11 2.00074970e-11
3.26413217e+01 4.62498839e-13 2.46803168e-11 2.42178180e-11
3.30165093e+01 4.37982147e-13 3.51988620e-11 3.47608799e-11
3.33916969e+01 4.92733187e-13 2.81659895e-11 2.76732563e-11
3.37668845e+01 5.51605753e-13 2.18544626e-11 2.13028568e-11
3.41420721e+01 5.26060086e-13 2.27648163e-11 2.22387562e-11
3.45172597e+01 4.54072678e-13 2.62378985e-11 2.57838258e-11
