# ADC channel: 0  gain: 100x  conv_time_us: 2602.8645  fs_Hz: 384.1921
# background_V  signal_V
-4.24206303e-03 4.98987865e+00
-4.26352071e-03 4.98964500e+00
-4.25398396e-03 4.98964024e+00
-4.24921559e-03 4.98975372e+00
-4.24563931e-03 4.98987532e+00
-4.25636815e-03 4.98978806e+00
-4.23967885e-03 4.98965931e+00
-4.25875233e-03 4.98959398e+00
-4.27782582e-03 4.98970127e+00
-4.23729466e-03 4.98956060e+00
-4.27305745e-03 4.98970699e+00
-4.27544164e-03 4.98954153e+00
-4.25398396e-03 4.98976898e+00
-4.24563931e-03 4.98977518e+00
-4.24444722e-03 4.98964167e+00
-4.24921559e-03 4.98968077e+00
-4.25994443e-03 4.98977375e+00
-4.27067326e-03 4.98960829e+00
-4.24921559e-03 4.98975229e+00
-4.24683141e-03 4.98963690e+00
-4.26590489e-03 4.98955107e+00
-4.24802350e-03 4.98967743e+00
-4.25279187e-03 4.98988485e+00
-4.27901791e-03 4.98966169e+00
-4.26471280e-03 4.98978472e+00
-4.26232861e-03 4.98968077e+00
-4.24683141e-03 4.98963547e+00
-4.26828908e-03 4.98980951e+00
-4.26352071e-03 4.98967981e+00
-4.24683141e-03 4.98960209e+00
-4.25279187e-03 4.98959398e+00
-4.26113652e-03 4.98969507e+00
-4.27424954e-03 4.98970699e+00
-4.26590489e-03 4.98981667e+00
-4.26232861e-03 4.98979425e+00
-4.23848676e-03 4.98972845e+00
-4.26352071e-03 4.98960924e+00
-4.26590489e-03 4.98967123e+00
-4.25875233e-03 4.98969030e+00
-4.25756024e-03 4.98970222e+00
-4.28259419e-03 4.98980379e+00
-4.24921559e-03 4.98961878e+00
-4.26232861e-03 4.98973227e+00
-4.24087094e-03 4.98972845e+00
-4.25756024e-03 4.98964262e+00
-4.26828908e-03 4.98969269e+00
-4.26709699e-03 4.98973703e+00
-4.23729466e-03 4.98983335e+00
-4.25159978e-03 4.98970604e+00
-4.26471280e-03 4.98967266e+00
-4.25398396e-03 4.98973799e+00
-4.25398396e-03 4.98964024e+00
-4.27305745e-03 4.98949862e+00
-4.25994443e-03 4.98963547e+00
-4.24087094e-03 4.98957253e+00
-4.26352071e-03 4.98977613e+00
-4.24087094e-03 4.98976803e+00
-4.25994443e-03 4.98967505e+00
-4.25279187e-03 4.98970699e+00
-4.25279187e-03 4.98964405e+00
-4.24802350e-03 4.98951530e+00
-4.24921559e-03 4.98975706e+00
-4.23610257e-03 4.98982525e+00
-4.24206303e-03 4.98969507e+00
-4.27186536e-03 4.98970699e+00
-4.25040768e-03 4.98975134e+00
-4.26948117e-03 4.98976183e+00
-4.26352071e-03 4.98973799e+00
-4.25517606e-03 4.98961878e+00
-4.24921559e-03 4.98967505e+00
-4.25875233e-03 4.98963308e+00
-4.27544164e-03 4.98960924e+00
-4.25875233e-03 4.98969507e+00
-4.25279187e-03 4.98976326e+00
-4.25636815e-03 4.98962355e+00
-4.26590489e-03 4.98969746e+00
-4.27186536e-03 4.98962975e+00
-4.27186536e-03 4.98968554e+00
-4.24802350e-03 4.98973227e+00
-4.26709699e-03 4.98962831e+00
-4.25875233e-03 4.98971891e+00
-4.28021001e-03 4.98966312e+00
-4.28259419e-03 4.98966551e+00
-4.24921559e-03 4.98975229e+00
-4.25994443e-03 4.98955584e+00
-4.25994443e-03 4.98971319e+00
-4.23252629e-03 4.98971081e+00
-4.25398396e-03 4.98952723e+00
-4.26113652e-03 4.98965359e+00
-4.24563931e-03 4.98976326e+00
-4.27067326e-03 4.98971891e+00
-4.25159978e-03 4.98970222e+00
-4.25756024e-03 4.98966169e+00
-4.25159978e-03 4.98982859e+00
-4.25636815e-03 4.98962021e+00
-4.26948117e-03 4.98960590e+00
-4.26113652e-03 4.98961306e+00
-4.24325513e-03 4.98968792e+00
-4.26828908e-03 4.98988819e+00
-4.27186536e-03 4.98959398e+00
-4.23729466e-03 4.98982620e+00
-4.25875233e-03 4.98979187e+00
-4.24683141e-03 4.98980474e+00
-4.26590489e-03 4.98965454e+00
-4.25756024e-03 4.98973799e+00
-4.26590489e-03 4.98975134e+00
-4.25279187e-03 4.98957729e+00
-4.25756024e-03 4.98969889e+00
-4.26471280e-03 4.98983097e+00
-4.27424954e-03 4.98962593e+00
-4.26709699e-03 4.98975468e+00
-4.25279187e-03 4.98977852e+00
-4.26471280e-03 4.98978329e+00
-4.23967885e-03 4.98977995e+00
-4.24444722e-03 4.98972034e+00
-4.25398396e-03 4.98968077e+00
-4.24802350e-03 4.98979521e+00
-4.25636815e-03 4.98979759e+00
-4.25040768e-03 4.98979759e+00
-4.27305745e-03 4.98963213e+00
-4.24087094e-03 4.98972130e+00
-4.24325513e-03 4.98964167e+00
-4.23371838e-03 4.98976183e+00
-4.25159978e-03 4.98973560e+00
-4.25756024e-03 4.98975134e+00
-4.26352071e-03 4.98969746e+00
-4.25517606e-03 4.98977757e+00
-4.27067326e-03 4.98972273e+00
-4.25398396e-03 4.98973703e+00
-4.27901791e-03 4.98977375e+00
-4.25040768e-03 4.98972988e+00
-4.25756024e-03 4.98965931e+00
-4.24206303e-03 4.98972607e+00
-4.25517606e-03 4.98965216e+00
-4.26948117e-03 4.98969507e+00
-4.25636815e-03 4.98964977e+00
-4.25279187e-03 4.98980618e+00
-4.26828908e-03 4.98977995e+00
-4.26471280e-03 4.98979664e+00
-4.25517606e-03 4.98966551e+00
-4.27305745e-03 4.98954964e+00
